#!,Workbook:,Custom,Custom
#!,Para reproducir estos datos: abra el archivo original de Excel, haga clic en el botón *Importar archivo de datos* de la pestaña *Secuencia de datos* de la cinta de opciones y desplácese hasta este archivo.
#!,Para obtener más información, visite http://aka.ms/hackingstem/
0.27,5,-4.5703125000
0.27,5,-4.5703125000
0.27,5,-4.5703125000
0.27,5,-4.5703125000
0.28,5,-4.5703125000
0.28,5,-4.5703125000
0.28,5,-4.5703125000
0.28,5,-4.5703125000
0.28,5,-4.5703125000
0.29,5,-4.5703125000
0.29,5,-4.5703125000
0.29,5,-4.5703125000
0.29,5,-4.5703125000
0.29,5,-4.5703125000
0.29,5,-4.5703125000
0.30,5,-4.5703125000
0.30,5,-4.5703125000
0.30,5,-4.5703125000
0.30,5,-4.5703125000
0.30,5,-4.5703125000
0.31,5,-4.5703125000
0.31,5,-4.5703125000
0.31,5,-4.5703125000
0.31,5,-4.5703125000
0.31,5,-4.5703125000
0.32,5,-4.5703125000
0.32,5,-4.5703125000
0.32,5,-4.5703125000
0.32,5,-4.5703125000
0.32,5,-4.5703125000
0.32,5,-4.5703125000
0.33,5,-4.5703125000
0.33,5,-4.5703125000
0.33,5,-4.5703125000
0.33,5,-4.5703125000
0.33,5,-4.5703125000
0.34,5,-4.5703125000
0.34,5,-4.5703125000
0.34,5,-4.5703125000
0.34,5,-4.5703125000
0.34,5,-4.5703125000
0.35,5,-4.5703125000
0.35,5,-4.5703125000
0.35,5,-4.5703125000
0.35,5,-4.5703125000
0.35,5,-4.5703125000
0.35,5,-4.5703125000
0.36,5,-4.5703125000
0.36,5,-4.5703125000
0.36,5,-4.5703125000
0.36,5,-4.5703125000
0.36,5,-4.5703125000
0.37,5,-4.5703125000
0.37,5,-4.5703125000
0.37,5,-4.5703125000
0.37,5,-4.5703125000
0.37,5,-4.5703125000
0.37,5,-4.5703125000
0.38,5,-4.5703125000
0.38,5,-4.5703125000
0.38,5,-4.5703125000
0.38,5,-4.5703125000
0.38,5,-4.5703125000
0.39,5,-4.5703125000
0.39,5,-4.5703125000
0.39,5,-4.5703125000
0.39,5,-4.5703125000
0.40,5,-4.5703125000
0.40,5,-4.5703125000
0.40,5,-4.5703125000
0.40,5,-4.5703125000
0.40,5,-4.5703125000
0.40,5,-4.5703125000
0.40,5,-4.5703125000
0.41,5,-4.5703125000
0.41,5,-4.5703125000
0.41,5,-4.5703125000
0.41,5,-4.5703125000
0.41,5,-4.5703125000
0.42,5,-4.5703125000
0.42,5,-4.5703125000
0.42,5,-4.5703125000
0.42,5,-4.5703125000
0.42,5,-4.5703125000
0.43,5,-4.5703125000
0.43,5,-4.5703125000
0.43,5,-4.5703125000
0.43,5,-4.5703125000
0.43,5,-4.5703125000
0.44,5,-4.5703125000
0.44,5,-4.5703125000
0.44,5,-4.5703125000
0.44,5,-4.5703125000
0.44,5,-4.5703125000
0.45,5,-4.5703125000
0.45,5,-4.5703125000
0.45,5,-4.5703125000
0.45,5,-4.5703125000
0.45,5,-4.5703125000
0.45,5,-4.5703125000
0.46,5,-4.5703125000
0.46,5,-4.5703125000
0.46,5,-4.5703125000
0.46,5,-4.5703125000
0.46,5,-4.5703125000
0.46,5,-4.5703125000
0.47,5,-4.5703125000
0.47,5,-4.5703125000
0.47,5,-4.5703125000
0.47,5,-4.5703125000
0.47,5,-4.5703125000
0.48,5,-4.5703125000
0.48,5,-4.5703125000
