Column1;Column2;Column3;;5;30
0,95;5;-4,4824219;;;
0,95;5;-4,4824219;;;
0,95;5;-4,4824219;;;
0,96;5;-4,4824219;;;
0,96;5;-4,4824219;;;
0,96;5;-4,4824219;;;
0,96;5;-4,4824219;;;
0,96;5;-4,4824219;;;
0,97;5;-4,4824219;;;
0,97;5;-4,4824219;;;
0,97;5;-4,4824219;;;
0,97;5;-4,4824219;;;
0,97;5;-4,4824219;;;
0,98;5;-4,4824219;;;
0,98;5;-4,4824219;;;
0,98;5;-4,4824219;;;
0,98;5;-4,4824219;;;
0,98;5;-4,4824219;;;
0,99;5;-4,4824219;;;
0,99;5;-4,4824219;;;
0,99;5;-4,4824219;;;
0,99;5;-4,4824219;;;
0,99;5;-4,4824219;;;
1;5;-4,4824219;;;
1;5;-4,4824219;;;
1;5;-4,4824219;;;
1;5;-4,4824219;;;
1;5;-4,4824219;;;
1;5;-4,4824219;;;
1,01;5;-4,4824219;;;
1,01;5;-4,4824219;;;
1,01;5;-4,4824219;;;
1,01;5;-4,4824219;;;
1,01;5;-4,4824219;;;
1,01;5;-4,4824219;;;
1,02;5;-4,4824219;;;
1,02;5;-4,4824219;;;
1,02;5;-4,4824219;;;
1,02;5;-4,4824219;;;
1,02;5;-4,4824219;;;
1,03;5;-4,4824219;;;
1,03;5;-4,4824219;;;
1,03;5;-4,4824219;;;
1,03;5;-4,4824219;;;
1,03;5;-4,4824219;;;
1,04;5;-4,4824219;;;
1,04;5;-4,4824219;;;
1,04;5;-4,4824219;;;
1,04;5;-4,4824219;;;
1,04;5;-4,4824219;;;
1,04;5;-4,4824219;;;
1,05;5;-4,4824219;;;
1,05;5;-4,4824219;;;
1,05;5;-4,4824219;;;
1,05;5;-4,4824219;;;
1,05;5;-4,4824219;;;
1,06;5;-4,4824219;;;
1,06;5;-4,4824219;;;
1,06;5;-4,4824219;;;
1,06;5;-4,4824219;;;
1,06;5;-4,4824219;;;
1,07;5;-4,4824219;;;
1,07;5;-4,4824219;;;
1,07;5;-4,4824219;;;
1,07;5;-4,4824219;;;
1,07;5;-4,4824219;;;
1,08;5;-4,4824219;;;
1,08;5;-4,4824219;;;
1,08;5;-4,4824219;;;
1,08;5;-4,4824219;;;
1,08;5;-4,4824219;;;
1,08;5;-4,4824219;;;
1,09;5;-4,4824219;;;
1,09;5;-4,4824219;;;
1,09;5;-4,4824219;;;
1,09;5;-4,4824219;;;
1,09;5;-4,4824219;;;
1,1;5;-4,4824219;;;
1,1;5;-4,4824219;;;
1,1;5;-4,4824219;;;
1,1;5;-4,4824219;;;
1,1;5;-4,4824219;;;
1,1;5;-4,4824219;;;
1,11;5;-4,4824219;;;
1,11;5;-4,4824219;;;
1,11;5;-4,4824219;;;
1,11;5;-4,4824219;;;
1,12;5;-4,4824219;;;
1,12;5;-4,4824219;;;
1,12;5;-4,4824219;;;
1,12;5;-4,4824219;;;
1,12;5;-4,4824219;;;
1,12;5;-4,4824219;;;
1,13;5;-4,4824219;;;
1,13;5;-4,4824219;;;
1,13;5;-4,4824219;;;
1,13;5;-4,4824219;;;
1,13;5;-4,4824219;;;
1,13;5;-4,4824219;;;
1,14;5;-4,4824219;;;
1,14;5;-4,4824219;;;
1,14;5;-4,4824219;;;
1,14;5;-4,4824219;;;
1,14;5;-4,4824219;;;
